theta_deg,phi_deg,Etheta_real,Etheta_imag,Ephi_real,Ephi_imag
0,0,0.99949987,0.00000000,0.03162278,0.00000000
0,5,0.99949987,0.00000000,0.03162278,0.00000000
0,10,0.99949987,0.00000000,0.03162278,0.00000000
0,15,0.99949987,0.00000000,0.03162278,0.00000000
0,20,0.99949987,0.00000000,0.03162278,0.00000000
0,25,0.99949987,0.00000000,0.03162278,0.00000000
0,30,0.99949987,0.00000000,0.03162278,0.00000000
0,35,0.99949987,0.00000000,0.03162278,0.00000000
0,40,0.99949987,0.00000000,0.03162278,0.00000000
0,45,0.99949987,0.00000000,0.03162278,0.00000000
0,50,0.99949987,0.00000000,0.03162278,0.00000000
0,55,0.99949987,0.00000000,0.03162278,0.00000000
0,60,0.99949987,0.00000000,0.03162278,0.00000000
0,65,0.99949987,0.00000000,0.03162278,0.00000000
0,70,0.99949987,0.00000000,0.03162278,0.00000000
0,75,0.99949987,0.00000000,0.03162278,0.00000000
0,80,0.99949987,0.00000000,0.03162278,0.00000000
0,85,0.99949987,0.00000000,0.03162278,0.00000000
0,90,0.99949987,0.00000000,0.03162278,0.00000000
0,95,0.99949987,0.00000000,0.03162278,0.00000000
0,100,0.99949987,0.00000000,0.03162278,0.00000000
0,105,0.99949987,0.00000000,0.03162278,0.00000000
0,110,0.99949987,0.00000000,0.03162278,0.00000000
0,115,0.99949987,0.00000000,0.03162278,0.00000000
0,120,0.99949987,0.00000000,0.03162278,0.00000000
0,125,0.99949987,0.00000000,0.03162278,0.00000000
0,130,0.99949987,0.00000000,0.03162278,0.00000000
0,135,0.99949987,0.00000000,0.03162278,0.00000000
0,140,0.99949987,0.00000000,0.03162278,0.00000000
0,145,0.99949987,0.00000000,0.03162278,0.00000000
0,150,0.99949987,0.00000000,0.03162278,0.00000000
0,155,0.99949987,0.00000000,0.03162278,0.00000000
0,160,0.99949987,0.00000000,0.03162278,0.00000000
0,165,0.99949987,0.00000000,0.03162278,0.00000000
0,170,0.99949987,0.00000000,0.03162278,0.00000000
